Name
"Rebar (40,60,75,80 Grade Steel)"
Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi)
Drywall (Natural Gypsum)
Drywall Joint Compound
Hydrophilic Concrete Joint Waterstop
Concrete Sealant
Vapor barrier
Structural Steel (I-beams)
Steel Bolt Assembly (General Use)
Steel Bolt Assembly (Structural)
Thin Film Intumescent Coating
Oriented strand board
Composite Metal Decking
Sub-Floor Smoothing Compound
Cementitious Grouting
Liquid-applied moisture barrier
Concrete cork expansion joint
Flame retardant polyurethane foam window/door seal
Firestop joint spray
XPS Insulation (extruded polystyrene)
Fiberglass Batt Insulation
Chromate Pretreatment for Steel
Polyester Powder Coating
Concrete Masonry Unit
Aluminum Primer
Anodized Aluminum Curtainwall Extrusion
Elastic Facade Joint Sealant
IGU Silicone Sealant
Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket
Double Pane IGU
Fluid-applied rubber asphalt roofing
Roof edge flashing
EPDM membrane roofing
Exterior Door w/ IGU
Metal Ceiling Tile
Steel Studs
Drywall Screws
Acrylic paint
Drywall Joint Tape
Drywall Acoustical Sealant
Pipe Thread Sealant
Steel Pipe Hanger
Solvent Weld Soil and Waste Pipe
Copper Piping
Intumescent firestop sealant
Galvanized Steel Ducts
Carbon Steel Sprinkler Pipe
Steel Conduit
HDPE Municipal Water Pipe
Type X Drywall
Drywall (Mixed Gypsum)
Drywall (FGD)
Welded Wire Mesh Concrete Reinforcement
Foundation waterproofing sheet membrane
Foundation waterproofing sheet primer
Foundation dampproofing
Granular Fill
Plywood
Particleboard
Wood Framing
Fire-retardant Treated/PT Lumber
EPS Insulation
Spray Foam Insulation
Mineral Fiber Batt Insulation
Thermoplastic polyolefin (TPO) membrane roofing
Polyvinyl chloride membrane roofing
Membrane roofing adhesives
Steel Door
Medium Density Fiberboard (MDF)
Acoustical Ceiling Panels (FGD Gypsum)
Acoustical Ceiling Panels (Natural Gypsum)
Acoustical Ceiling Panels (mineral fiber)
PVDF-Coated Aluminum Curtainwall Extrusion
High performance coating (epoxy)
High Performance Coatings (Acrylic)
Acrylic Flooring Adhesive
Epoxy flooring adhesive
Polyurethane flooring adhesive
Linoleum Flooring
Vinyl Composition Tile
Fluid-Applied Flooring
Carpet
Hardwood (prefinished)
Bamboo (engineered)
Cross Laminated Timber (CLT) (Engineered wood)
PP Water Pipe
PEX Water Pipe
Pipe Insulation
Pipe Insulation Adhesives
Ready Mixed Concrete (LWC 3000-4000psi)
"Ready Mix Concrete (BF Slag) (3,000 - 4,000 psi)"
"Ready Mix Concrete (Fly Ash) (3,000 - 4,000 psi)"
Glulam
Glass Fiber Reinforced Polymer Decking
Polycarbonate Cladding
Structural Steel Cables
Cast Iron Pipes
Glass Fiber Reinforced Polymer Water Storage Tank
Gypsum Spray Fireproofing
Laminated Glass
Fiberglass Board Insulation
PMMA Countertop
